ID de Filme,T+AO0-tulo,Ano de Lan+AOc-amento,G+AOo-nero 1,G+AOo-nero 2,Classifica+AOcA4w-o,Dura+AOcA4w-o,Diretor,Diretor Ganhou Oscar ?,Pa+AO0-s de Origem,Or+AOc-amento (+ACQ-),Ator Principal,Ator Principal Ganhou Oscar,Avalia+AOcA4w-o IMDB,Filme Ganhou Oscar
468,Englishman Who Went Up a Hill,1995,Comedy,Romance,Rated PG for mild language,99,Christopher Monger,Nao,UK,?,Hugh Grant,Nao,6.6,Nao
471,Hudsucker Proxy,1994,Comedy,Romance,12,111,Joel Coen,Sim,UK,30000000,Tim Robbins,Sim,7.3,Nao
473,In the Army Now,1994,Comedy,War,Rated PG for some war action mild language and comic sensuality,91,Daniel Petrie Jr.,Nao,USA,?,Pauly Shore,Nao,4.8,Nao
474,In the Line of Fire,1993,Action,Thriller,Rated R for violence and language,128,Wolfgang Petersen,Nao,USA,40000000,Clint Eastwood,Nao,7.2,Nao
475,In the Name of the Father,1993,Drama,?,KNT/ENA,133,Jim Sheridan,Nao,Ireland,13000000,Daniel Day+AC0-Lewis,Sim,8.1,Nao
480,Jurassic Park,1993,Sci+AC0-Fi,Action,Livre,127,Steven Spielberg,Sim,USA,63000000,Sam Neill,Nao,8.1,Sim
481,Kalifornia,1993,Drama,Thriller,Rated R for strong violenceand for sexuality and language,117,Dominic Sena,Nao,USA,9000000,Brad Pitt,Nao,6.7,Nao
485,Last Action Hero,1993,Comedy,Action,12,130,John McTiernan,Nao,USA,85000000,Arnold Schwarzenegger,Nao,6.2,Nao
494,Executive Decision,1996,Action,Thriller,Rated R for violence and brief language,133,Stuart Baird,Nao,USA,55000000,Kurt Russell,Nao,6.4,Nao
496,What Happened Was...,1994,Drama,Romance,?,91,Tom Noonan,Nao,USA,120000,Tom Noonan,Nao,7.1,Nao
497,Much Ado About Nothing,1993,Comedy,Romance,Rated PG+AC0-13 for momentary sensuality,111,Kenneth Branagh,Nao,UK,11000000,Kenneth Branagh,Nao,7.4,Nao
500,Mrs. Doubtfire,1993,Comedy,?,Livre,125,Chris Columbus,Nao,USA,25000000,Robin Williams,Sim,6.9,Sim
501,Naked,1993,Drama,?,?,132,Mike Leigh,Nao,UK,?,David Thewlis,Nao,7.9,Nao
503,New Age,1994,Drama,?,Rated R for sexuality and language,112,Michael Tolkin,Nao,USA,?,Peter Weller,Nao,5.8,Nao
506,Orlando,1992,Drama,?,Rated PG+AC0-13 for some sensuality,94,Sally Potter,Nao,UK,4000000,Tilda Swinton,Sim,7.2,Nao
507,Perfect World,1993,Drama,Action,Rated PG+AC0-13 for violencesexual content and language,138,Clint Eastwood,Sim,USA,30000000,Kevin Costner,Nao,7.5,Nao
508,Philadelphia,1993,Drama,?,12,125,Jonathan Demme,Sim,USA,26000000,Tom Hanks,Sim,7.7,Sim
509,Piano,1993,Drama,Romance,16,121,Jane Campion,Nao,New Zealand,7000000,Holly Hunter,Sim,7.6,Sim
515,Remains of the Day,1993,Drama,?,Rated PG for themes,134,James Ivory,Nao,USA,15000000,Anthony Hopkins,Sim,7.9,Nao
521,Romeo Is Bleeding,1993,Thriller,Crime,Rated R for strong violencelanguage and sexuality,100,Peter Medak,Nao,UK,11500000,Gary Oldman,Nao,6.6,Nao
527,Schindler's List,1993,Drama,War,14,195,Steven Spielberg,Sim,USA,22000000,Liam Neeson,Nao,8.9,Sim
529,Searching for Bobby Fischer,1993,Drama,?,Rated PG for thematic elements,109,Steven Zaillian,Nao,USA,?,Joe Mantegna,Nao,7.5,Nao
531,Secret Garden,1993,Family,Drama,?,101,Agnieszka Holland,Nao,USA,?,Kate Maberly,Nao,7.3,Nao
532,Serial Mom,1994,Horror,Comedy,Rated R for satirical presentation of strong violence vulgar language and sexual episodes,95,John Waters,Nao,USA,13000000,Kathleen Turner,Nao,6.7,Nao
534,Shadowlands,1993,Drama,Romance,Rated PG for thematic elements,131,Richard Attenborough,Sim,UK,22000000,Anthony Hopkins,Sim,7.4,Nao
539,Sleepless in Seattle,1993,Comedy,Romance,Rated PG for some language,105,Nora Ephron,Nao,USA,21000000,Tom Hanks,Sim,6.8,Nao
541,Blade Runner,1982,Sci+AC0-Fi,?,14,117,Ridley Scott,Nao,USA,28000000,Harrison Ford,Nao,8.2,Nao
542,Son in Law,1993,Comedy,?,Rated PG+AC0-13 for elements of sensuality,95,Steve Rash,Nao,USA,?,Pauly Shore,Nao,5.7,Nao
543,So I Married an Axe Murderer,1993,Comedy,Romance,Rated PG+AC0-13 for nudity language and mock terror,93,Thomas Schlamme,Nao,USA,20000000,Mike Myers,Nao,6.4,Nao
546,Super Mario Bros.,1993,Family,Adventure,Livre,104,Annabel Jankel,Nao,UK,42000000,Bob Hoskins,Nao,4.0,Nao
551,Nightmare Before Christmas,1993,Family,Comedy,Livre,76,Henry Selick,Nao,USA,18000000,Danny Elfman,Nao,8.0,Nao
552,Three Musketeers,1993,Comedy,Action,Rated PG for action/violence and some brief sensuality,105,Stephen Herek,Nao,Austria,30000000,Charlie Sheen,Nao,6.4,Nao
553,Tombstone,1993,Western,?,Rated R for violence,130,George P. Cosmatos,Nao,USA,25000000,Kurt Russell,Nao,7.8,Nao
555,True Romance,1993,Action,Crime,18,120,Tony Scott,Nao,USA,13000000,Christian Slater,Nao,8.0,Nao
562,Welcome to the Dollhouse,1995,Drama,Comedy,Rated R for language,88,Todd Solondz,Nao,USA,800000,Heather Matarazzo,Nao,7.5,Nao
569,Little Big League,1994,Family,Comedy,Rated PG for some mild language and sensuality,119,Andrew Scheinman,Nao,USA,?,Luke Edwards,Nao,6.0,Nao
581,Celluloid Closet,1995,Documentary,?,Rated R for some graphic footage of sexuality and violenceand for language,102,Rob Epstein,Nao,France,?,Lily Tomlin,Nao,7.8,Nao
585,Brady Bunch Movie,1995,Comedy,?,Rated PG+AC0-13 for racy innuendos,90,Betty Thomas,Nao,USA,12000000,Shelley Long,Nao,5.9,Nao
586,Home Alone,1990,Family,Comedy,Livre,103,Chris Columbus,Nao,USA,18000000,Macaulay Culkin,Nao,7.5,Nao
587,Ghost,1990,Comedy,Romance,?,127,Jerry Zucker,Nao,USA,22000000,Patrick Swayze,Nao,7.0,Sim
588,Aladdin,1992,Animation,Family,Livre,90,Ron Clements,Nao,USA,28000000,Scott Weinger,Nao,8.0,SimN
589,Terminator 2: Judgment Day,1991,Sci+AC0-Fi,Action,14,137,James Cameron,Sim,USA,102000000,Arnold Schwarzenegger,Nao,8.5,Sim
590,Dances with Wolves,1990,Drama,Western,14,181,Kevin Costner,Sim,USA,22000000,Kevin Costner,Nao,8.0,Sim
592,Batman,1989,Drama,Action,12,126,Tim Burton,Nao,USA,35000000,Michael Keaton,Nao,7.6,Sim
593,Silence of the Lambs,1991,Drama,Thriller,14,118,Jonathan Demme,Sim,USA,19000000,Jodie Foster,Sim,8.6,Sim
594,Snow White and the Seven Dwarfs,1937,Animation,Family,Livre,83,William Cottrell,Nao,USA,2000000,Adriana Caselotti,Nao,7.6,Nao
595,Beauty and the Beast,1991,Animation,Family,Livre,84,Gary Trousdale,Nao,USA,25000000,Paige O'Hara,Nao,8.0,Sim
596,Pinocchio,1940,Animation,Family,Livre,88,Norman Ferguson,Nao,USA,2600000,Dickie Jones,Nao,7.5,Sim
597,Pretty Woman,1990,Comedy,Romance,12,119,Garry Marshall,Nao,USA,14000000,Richard Gere,Nao,6.9,Nao
608,Fargo,1996,Drama,Thriller,18,98,Joel Coen,Sim,USA,7000000,William H. Macy,Nao,8.1,Sim
610,Heavy Metal,1981,Animation,Horror,18,86,Gerald Potterton,Nao,USA,9300000,Richard Romanus,Nao,6.7,Nao
628,Primal Fear,1996,Drama,Thriller,14,129,Gregory Hoblit,Nao,USA,30000000,Richard Gere,Nao,7.7,Nao
630,Carried Away,1996,Drama,Romance,Rated R for nuditystrong sexuality and language,109,Bruno Barreto,Nao,USA,?,Dennis Hopper,Nao,6.4,Nao
640,Diabolique,1996,Drama,Thriller,Rated R for violence/terrorsexuality and language,107,Jeremiah S. Chechik (as Jeremiah Chechik),Nao,USA,?,Sharon Stone,Nao,5.3,Nao
648,Mission: Impossible,1996,Action,Adventure,Livre,110,Brian De Palma,Nao,USA,80000000,Tom Cruise,Nao,7.1,Nao
653,Dragonheart,1996,Action,Adventure,Rated PG+AC0-13 for action/violence,103,Rob Cohen,Nao,USA,57000000,Dennis Quaid,Nao,6.4,Nao
663,Kids in the Hall: Brain Candy,1996,Comedy,?,Rated R for language and sexual humor,89,Kelly Makin,Nao,Canada,?,Dave Foley,Nao,6.8,Nao
664,Faithful,1996,Comedy,?,Rated R for language and sex+AC0-related dialogue,91,Paul Mazursky,Nao,USA,13000000,Cher,Sim,5.9,Nao
671,Mystery Science Theater 3000: The Movie,1996,Sci+AC0-Fi,Comedy,Rated PG+AC0-13 for some sexual humor,73,Jim Mallon,Nao,USA,?,Trace Beaulieu,Nao,7.4,Nao
673,Space Jam,1996,Animation,Family,Livre,88,Joe Pytka,Nao,USA,80000000,Michael Jordan,Nao,6.3,Nao
678,Some Folks Call It a Sling Blade,1993,Drama,Thriller,?,25,George Hickenlooper,Nao,USA,?,Billy Bob Thornton,Nao,7.6,Nao
707,Mulholland Falls,1996,Thriller,Crime,Rated R for sexualityviolence and language,107,Lee Tamahori,Nao,USA,29000000,Nick Nolte,Nao,6.2,Nao
708,Truth About Cats +ACY- Dogs,1996,Comedy,Romance,Rated PG+AC0-13 on appeal for a sex+AC0-related scene and brief strong language,97,Michael Lehmann,Nao,USA,?,Uma Thurman,Nao,6.3,Nao
714,Dead Man,1995,Western,?,Rated R for moments of strong violencea graphic sex scene and some language,121,Jim Jarmusch,Nao,USA,9000000,Johnny Depp,Nao,7.7,Nao
720,Wallace +ACY- Gromit: The Best of Aardman Animation,1996,Animation,?,?,75,Nick Park,Nao,UK,?,?,Nao,8.6,Nao
728,Cold Comfort Farm,1995,Comedy,?,Rated PG for brief sensuality and language,95,John Schlesinger,Sim,UK,?,Eileen Atkins,Nao,7.3,Nao
733,Rock,1996,Action,Adventure,16,136,Michael Bay,Nao,USA,75000000,Sean Connery,Sim,7.4,Nao
736,Twister,1996,Action,Adventure,Rated PG+AC0-13 for intense depiction of very bad weather,113,Jan de Bont,Nao,USA,92000000,Helen Hunt,Sim,6.3,Nao
741,Ghost in the Shell,1995,Animation,Sci+AC0-Fi,14,83,Mamoru Oshii,Nao,Japan,?,Atsuko Tanaka,Nao,8.0,Nao
745,Close Shave,1995,Animation,Short,Livre,30,Nick Park,Nao,UK,?,Peter Sallis,Nao,8.2,Sim
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Sci+AC0-Fi,?,10,95,Stanley Kubrick,Nao,USA,1800000,Peter Sellers,Nao,8.5,Nao
762,Striptease,1996,Comedy,Crime,Rated R for nudityerotic dancing and language,115,Andrew Bergman,Nao,USA,40000000,Demi Moore,Nao,4.3,Nao
764,Heavy,1995,Drama,Romance,Rated R for language and a scene of sexuality,105,James Mangold,Nao,USA,?,Pruitt Taylor Vince,Nao,7.0,Nao
771,Vie est belle,1987,Drama,Comedy,?,80,Benoit Lamy,Nao,Belgium,?,Papa Wemba,Nao,6.1,Nao
778,Trainspotting,1996,Drama,?,18,94,Danny Boyle,Sim,UK,3500000,Ewan McGregor,Nao,8.2,Nao
780,Independence Day,1996,Sci+AC0-Fi,Action,12,145,Roland Emmerich,Nao,USA,75000000,Will Smith,Nao,6.9,Sim
782,Fan,1996,Thriller,?,Rated R for strong language throughout and some intense violence,116,Tony Scott,Nao,USA,55000000,Robert De Niro,Sim,5.8,Nao
784,Cable Guy,1996,Comedy,?,Rated PG+AC0-13 for dark thematic elements and crude humor,96,Ben Stiller,Nao,USA,47000000,Jim Carrey,Nao,6.0,Nao
785,Kingpin,1996,Comedy,?,Rated PG+AC0-13 for crude sex+AC0-related humor and a drug scene,113,Bobby Farrelly,Nao,USA,27000000,Woody Harrelson,Nao,6.9,Nao
786,Eraser,1996,Action,Thriller,14,115,Chuck Russell (as Charles Russell),Nao,USA,100000000,Arnold Schwarzenegger,Nao,6.1,Nao
788,Nutty Professor,1996,Sci+AC0-Fi,Comedy,Rated PG+AC0-13 for crude humor and sexual references,95,Tom Shadyac,Nao,USA,54000000,Eddie Murphy,Nao,5.6,Sim
798,Daylight,1996,Action,Adventure,Rated PG+AC0-13 for disaster+AC0-related peril death and destruction,114,Rob Cohen,Nao,USA,80000000,Sylvester Stallone,Nao,5.8,Nao
799,Frighteners,1996,Horror,Comedy,16,110,Peter Jackson,Sim,New Zealand,30000000,Michael J. Fox,Nao,7.1,Nao
800,Lone Star,1996,Drama,Mystery,Rated R for brief language sex and violence,135,John Sayles,Nao,USA,5000000,Chris Cooper,Sim,7.6,Nao
802,Phenomenon,1996,Drama,Romance,Rated PG for language and mild sensuality,123,Jon Turteltaub,Nao,USA,32000000,John Travolta,Nao,6.4,Nao
806,American Buffalo,1996,Drama,?,Rated R for language,88,Michael Corrente,Nao,UK,?,Dustin Hoffman,Sim,5.7,Nao
808,Alaska,1996,Family,Adventure,Rated PG for some mild language and adventure/peril,109,Fraser C. Heston,Nao,USA,23000000,Thora Birch,Nao,5.7,Nao
818,Very Brady Sequel,1996,Comedy,?,Rated PG+AC0-13 for sex+AC0-related humor and some drug content,90,Arlene Sanford,Nao,USA,15000000,Shelley Long,Nao,5.6,Nao
830,First Wives Club,1996,Comedy,?,Rated PG for thematic elementssome mild language and sensuality,103,Hugh Wilson,Nao,USA,26000000,Goldie Hawn,Sim,6.2,Nao
833,High School High,1996,Comedy,?,Rated PG+AC0-13 for crude sexual humor partial nudity and some drug references,86,Hart Bochner,Nao,USA,?,Jon Lovitz,Nao,5.5,Nao
838,Emma,1996,Drama,Romance,12,120,Douglas McGrath,Nao,UK,6000000,Gwyneth Paltrow,Sim,6.8,Sim
842,Tales from the Crypt Presents: Bordello of Blood,1996,Horror,?,Rated R for horror violence and gore sexuality nudity and strong language,87,Gilbert Adler,Nao,USA,13000000,Dennis Miller,Nao,5.3,Nao
848,Spitfire Grill,1996,Drama,?,Rated PG+AC0-13 for thematic elements,117,Lee David Zlotoff,Nao,USA,6000000,Alison Elliott,Nao,6.9,Nao
849,Escape from L.A.,1996,Sci+AC0-Fi,Action,14,101,John Carpenter,Nao,USA,50000000,Kurt Russell,Nao,5.7,Nao
852,Tin Cup,1996,Comedy,Romance,Rated R for language and brief nudity,135,Ron Shelton,Nao,USA,45000000,Kevin Costner,Nao,6.3,Nao
858,Godfather,1972,Drama,Action,14,175,Francis Ford Coppola,Sim,USA,6000000,Marlon Brando,Sim,9.2,Sim
860,Maybe,1994,Comedy,?,Rated R for sexuality and languageincluding some explicit sexual dialogue,93,Sonke Wortmann,Nao,Germany,?,Til Schweiger,Nao,6.6,Nao
861,Supercop,1992,Action,Thriller,Rated R for some violence,95,Stanley Tong,Nao,Hong Kong,900000,Jackie Chan,Nao,6.9,Nao
866,Bound,1996,Drama,Romance,18,108,Lana Wachowski (as The Wachowski Brothers),Nao,USA,4500000,Jennifer Tilly,Nao,7.4,Nao
879,Relic,1997,Horror,?,Rated R for monster violence and gore and for language,110,Peter Hyams,Nao,UK,40000000,Penelope Ann Miller,Nao,5.7,Nao
891,Halloween: The Curse of Michael Myers,1995,Horror,Thriller,Rated R for strong horror violenceand some sexuality,87,Joe Chappelle,Nao,USA,5000000,Donald Pleasence,Nao,5.0,Nao
896,Wild Reeds,1994,Drama,?,?,110,Andre Techine,Nao,France,?,Elodie Bouchez,Nao,7.6,Nao
898,Philadelphia Story,1940,Comedy,Romance,?,112,George Cukor,Sim,USA,?,Cary Grant,Nao,8.0,Sim
899,Singin' in the Rain,1952,Musical,Romance,?,103,Stanley Donen,Nao,USA,2540800,Gene Kelly,Nao,8.3,Nao
900,American in Paris,1951,Musical,Romance,?,113,Vincente Minnelli,Sim,USA,2723903,Gene Kelly,Nao,7.2,Sim
901,Funny Face,1957,Comedy,Musical,?,103,Stanley Donen,Nao,USA,3000000,Audrey Hepburn,Sim,7.1,Nao
902,Breakfast at Tiffany's,1961,Drama,Romance,Livre,115,Blake Edwards,Nao,USA,2500000,Audrey Hepburn,Sim,7.7,Sim
903,Vertigo,1958,Thriller,Mystery,14,128,Alfred Hitchcock,Nao,USA,2479000,James Stewart,Sim,8.4,Nao
904,Rear Window,1954,Thriller,Mystery,12,112,Alfred Hitchcock,Nao,USA,1000000,James Stewart,Sim,8.5,Nao
905,It Happened One Night,1934,Comedy,?,Livre,105,Frank Capra,Sim,USA,325000,Clark Gable,Sim,8.2,Sim
906,Gaslight,1944,Thriller,Mystery,?,114,George Cukor,Sim,USA,?,Charles Boyer,Nao,7.9,Sim
908,North by Northwest,1959,Drama,Thriller,14,136,Alfred Hitchcock,Nao,USA,3101000,Cary Grant,Nao,8.4,Nao
909,Apartment,1960,Drama,Comedy,Livre,125,Billy Wilder,Sim,USA,3000000,Jack Lemmon,Sim,8.3,Sim
910,Some Like It Hot,1959,Comedy,Crime,Livre,120,Billy Wilder,Sim,USA,2883848,Marilyn Monroe,Nao,8.3,Sim
911,Charade,1963,Comedy,Romance,?,113,Stanley Donen,Nao,USA,4000000,Cary Grant,Nao,8.0,Nao
912,Casablanca,1942,Drama,Romance,12,102,Michael Curtiz,Sim,USA,950000,Humphrey Bogart,Sim,8.5,Sim
913,Maltese Falcon,1941,Film+AC0-Noir,Mystery,12,100,John Huston,Sim,USA,375000,Humphrey Bogart,Sim,8.1,Nao
914,My Fair Lady,1964,Musical,Romance,Livre,170,George Cukor,Sim,USA,17000000,Audrey Hepburn,Sim,7.9,Sim
915,Sabrina,1954,Comedy,Romance,Livre,113,Billy Wilder,Sim,USA,2238813,Humphrey Bogart,Sim,7.7,Sim
916,Roman Holiday,1953,Comedy,Romance,Livre,118,William Wyler,Sim,USA,1500000,Gregory Peck,Sim,8.1,Sim
918,Meet Me in St. Louis,1944,Musical,?,?,113,Vincente Minnelli,Sim,USA,1707561,Judy Garland,Sim,7.7,Nao
919,Wizard of Oz,1939,Family,Adventure,Livre,102,Victor Fleming,Sim,USA,2800000,Judy Garland,Sim,8.1,Sim
920,Gone with the Wind,1939,Drama,Romance,Livre,238,Victor Fleming,Sim,USA,3977000,Clark Gable,Sim,8.2,Sim
921,My Favorite Year,1982,Comedy,?,?,92,Richard Benjamin,Nao,USA,?,Peter O'Toole,Nao,7.4,Nao
922,Sunset Blvd.,1950,Film+AC0-Noir,?,Livre,110,Billy Wilder,Sim,USA,1752000,William Holden,Sim,8.5,Sim
923,Citizen Kane,1941,Drama,?,Livre,119,Orson Welles,Nao,USA,839727,Orson Welles,Nao,8.4,Sim
924,2001: A Space Odyssey,1968,Drama,Sci+AC0-Fi,Livre,149,Stanley Kubrick,Nao,UK,12000000,Keir Dullea,Nao,8.3,Sim
926,All About Eve,1950,Drama,?,Livre,138,Joseph L. Mankiewicz,Sim,USA,1400000,Bette Davis,Sim,8.3,Sim
928,Rebecca,1940,Thriller,Romance,?,130,Alfred Hitchcock,Nao,USA,1288000,Laurence Olivier,Sim,8.2,Sim
929,Foreign Correspondent,1940,Thriller,?,?,120,Alfred Hitchcock,Nao,USA,?,Joel McCrea,Nao,7.6,Nao
930,Notorious,1946,Thriller,Film+AC0-Noir,?,101,Alfred Hitchcock,Nao,USA,2000000,Cary Grant,Nao,8.0,Nao
931,Spellbound,1945,Thriller,Mystery,?,111,Alfred Hitchcock,Nao,USA,1696377,Ingrid Bergman,Sim,7.6,Sim
932,Affair to Remember,1957,Romance,?,?,115,Leo McCarey,Sim,USA,?,Cary Grant,Nao,7.6,Nao
933,To Catch a Thief,1955,Comedy,Romance,14,106,Alfred Hitchcock,Nao,USA,2500000,Cary Grant,Nao,7.5,Sim
934,Father of the Bride,1950,Comedy,?,?,92,Vincente Minnelli,Sim,USA,?,Spencer Tracy,Sim,7.2,Nao
938,Gigi,1958,Musical,?,?,115,Vincente Minnelli,Sim,USA,3319355,Leslie Caron,Nao,6.9,Sim
940,Adventures of Robin Hood,1938,Action,Adventure,10,102,Michael Curtiz,Sim,USA,1900000,Errol Flynn,Nao,8.0,Sim
942,Laura,1944,Crime,Film+AC0-Noir,?,88,Otto Preminger,Nao,USA,1020000,Gene Tierney,Nao,8.1,Sim
943,Ghost and Mrs. Muir,1947,Drama,Romance,?,104,Joseph L. Mankiewicz,Sim,USA,?,Gene Tierney,Nao,7.9,Nao
946,To Be or Not to Be,1942,Drama,War,?,99,Ernst Lubitsch,Nao,USA,?,Carole Lombard,Nao,8.2,Nao
947,My Man Godfrey,1936,Comedy,?,?,94,Gregory La Cava,Nao,USA,656000,William Powell,Nao,8.1,Nao
948,Giant,1956,Drama,?,?,201,George Stevens,Sim,USA,5400000,Elizabeth Taylor,Sim,7.7,Sim
949,East of Eden,1955,Drama,?,Rated PG for thematic elements and some violent content,118,Elia Kazan,Sim,USA,?,James Dean,Nao,8.0,Sim
951,His Girl Friday,1940,Comedy,?,Livre,92,Howard Hawks,Nao,USA,?,Cary Grant,Nao,8.0,Nao
953,It's a Wonderful Life,1946,Drama,?,Livre,130,Frank Capra,Sim,USA,3180000,James Stewart,Sim,8.6,Nao
954,Mr. Smith Goes to Washington,1939,Drama,?,Livre,129,Frank Capra,Sim,USA,1500000,James Stewart,Sim,8.2,Sim
955,Bringing Up Baby,1938,Comedy,?,?,102,Howard Hawks,Nao,USA,1073000,Katharine Hepburn,Sim,8.0,Nao
956,Penny Serenade,1941,Drama,Romance,?,119,George Stevens,Sim,USA,?,Cary Grant,Nao,7.2,Nao
957,Scarlet Letter,1926,Drama,?,?,98,Victor Seastrom,Nao,USA,430290,Lillian Gish,Nao,7.8,Nao
959,Of Human Bondage,1934,Drama,?,?,83,John Cromwell,Nao,USA,403000,Bette Davis,Sim,7.3,Nao
960,Angel on My Shoulder,1946,Drama,Crime,?,100,Archie Mayo,Nao,USA,?,Paul Muni,Sim,6.9,Nao
961,Little Lord Fauntleroy,1936,Drama,?,?,102,John Cromwell,Nao,USA,?,Freddie Bartholomew,Nao,7.3,Nao
963,Inspector General,1949,Musical,?,?,102,Henry Koster,Nao,USA,?,Danny Kaye,Nao,6.9,Nao
965,39 Steps,1935,Thriller,?,?,86,Alfred Hitchcock,Nao,UK,?,Robert Donat,Sim,7.8,Nao
968,Night of the Living Dead,1968,Horror,Sci+AC0-Fi,?,96,George A. Romero,Nao,USA,114000,Duane Jones,Nao,7.9,Nao
969,African Queen,1951,Action,Adventure,Rated PG for thematic elementssome violence and smoking,105,John Huston,Sim,USA,1000000,Humphrey Bogart,Sim,7.9,Sim
971,Cat on a Hot Tin Roof,1958,Drama,?,14,108,Richard Brooks,Nao,USA,3000000,Elizabeth Taylor,Sim,8.1,Nao
974,Algiers,1938,Drama,Romance,?,96,John Cromwell,Nao,USA,?,Charles Boyer,Nao,6.9,Nao
982,Picnic,1955,Drama,?,?,115,Joshua Logan,Nao,USA,?,William Holden,Sim,7.2,Sim
986,Fly Away Home,1996,Family,Adventure,Rated PG for an opening accident scene and some mild language,107,Carroll Ballard,Nao,USA,?,Jeff Daniels,Nao,6.8,Nao
994,Big Night,1996,Drama,?,Rated R for language,109,Campbell Scott,Nao,USA,4100000,Tony Shalhoub,Nao,7.3,Nao
1005,D3: The Mighty Ducks,1996,Family,Comedy,Rated PG for some hockey rough+AC0-housing and mild language,104,Robert Lieberman,Nao,USA,?,Emilio Estevez,Nao,5.3,Nao
1007,Apple Dumpling Gang,1975,Family,Comedy,?,100,Norman Tokar,Nao,USA,?,Bill Bixby,Nao,6.3,Nao
1010,Love Bug,1968,Family,Comedy,?,108,Robert Stevenson,Nao,USA,?,Dean Jones,Nao,6.4,Nao
1011,Herbie Rides Again,1974,Family,Adventure,?,88,Robert Stevenson,Nao,USA,?,Helen Hayes,Sim,5.6,Nao
1012,Old Yeller,1957,Family,Drama,?,83,Robert Stevenson,Nao,USA,?,Dorothy McGuire,Nao,7.3,Nao
1019,20,1954,Family,Adventure,?,127,Richard Fleischer,Nao,USA,5000000,Kirk Douglas,Nao,7.2,Sim
1020,Cool Runnings,1993,Comedy,?,Rated PG for mild language and brief violence,98,Jon Turteltaub,Nao,USA,15000000,John Candy,Nao,6.9,Nao
1022,Cinderella,1950,Animation,Family,Livre,74,Clyde Geronimi,Nao,USA,2900000,Ilene Woods,Nao,7.3,Nao
1023,Winnie the Pooh and the Blustery Day,1968,Animation,Family,?,25,Wolfgang Reitherman,Nao,USA,?,Sebastian Cabot,Nao,8.0,Sim
1025,Sword in the Stone,1963,Animation,Family,?,79,Wolfgang Reitherman,Nao,USA,?,Rickie Sorensen,Nao,7.2,Nao
1027,Robin Hood: Prince of Thieves,1991,Drama,?,?,143,Kevin Reynolds,Nao,USA,48000000,Kevin Costner,Nao,6.9,Nao
1028,Mary Poppins,1964,Family,Comedy,G,139,Robert Stevenson,Nao,USA,6000000,Julie Andrews,Sim,7.8,Sim
1029,Dumbo,1941,Animation,Family,Livre,64,Samuel Armstrong (as Sam Armstrong),Nao,USA,950000,Sterling Holloway,Nao,7.3,Sim
1030,Pete's Dragon,1977,Animation,Family,?,128,Don Chaffey,Nao,USA,10000000,Sean Marshall,Nao,6.4,Nao
1034,Freeway,1996,Crime,?,18,104,Matthew Bright,Nao,USA,3000000,Reese Witherspoon,Sim,6.9,Nao
1035,Sound of Music,1965,Musical,?,Livre,174,Robert Wise,Sim,USA,8200000,Julie Andrews,Sim,8.0,Sim
1036,Die Hard,1988,Action,Thriller,14,131,John McTiernan,Nao,USA,28000000,Bruce Willis,Nao,8.2,Nao
1037,Lawnmower Man,1992,Sci+AC0-Fi,Action,Rated R for language sensuality and a scene of violence,108,Brett Leonard,Nao,UK,10000000,Jeff Fahey,Nao,5.4,Nao
1042,That Thing You Do+ACE-,1996,Comedy,?,Rated PG for some language,108,Tom Hanks,Nao,USA,26000000,Tom Hanks,Sim,6.9,Nao
1043,To Gillian on Her 37th Birthday,1996,Drama,Romance,Rated PG+AC0-13 for a scene involving strong languageand for some sensuality and teen drinking,93,Michael Pressman,Nao,USA,?,Peter Gallagher,Nao,5.8,Nao
1046,Beautiful Thing,1996,Drama,Romance,Rated R for sexualitypervasive strong language and some drug content,90,Hettie Macdonald,Nao,UK,?,Glen Berry,Nao,7.7,Nao
1047,Long Kiss Goodnight,1996,Action,Thriller,18,121,Renny Harlin,Nao,USA,65000000,Geena Davis,Sim,6.7,Nao
1049,Ghost and the Darkness,1996,Action,Adventure,14,110,Stephen Hopkins,Nao,Germany,55000000,Michael Douglas,Sim,6.8,Sim
1050,Looking for Richard,1996,Drama,Documentary,Rated PG+AC0-13 for brief strong language and some scenes of violence,112,Al Pacino,Nao,USA,?,Al Pacino,Sim,7.4,Nao
1057,Everyone Says I Love You,1996,Comedy,Romance,12,101,Woody Allen,Sim,USA,20000000,Woody Allen,Nao,6.8,Nao
1059,William Shakespeare's Romeo and Juliet,1996,Drama,Romance,14,120,Baz Luhrmann,Nao,USA,14500000,Leonardo DiCaprio,Sim,6.8,Nao
1064,Aladdin and the King of Thieves,1996,Animation,Family,?,80,Tad Stones,Nao,USA,?,Scott Weinger,Nao,6.4,Nao
1069,Murder,1944,Thriller,Film+AC0-Noir,?,95,Edward Dmytryk,Nao,USA,400000,Dick Powell,Nao,7.6,Nao
1073,Willy Wonka and the Chocolate Factory,1971,Family,Adventure,Livre,100,Mel Stuart,Nao,USA,3000000,Gene Wilder,Nao,7.8,Nao
1077,Sleeper,1973,Sci+AC0-Fi,Comedy,12,89,Woody Allen,Sim,USA,2000000,Woody Allen,Nao,7.3,Nao
1078,Bananas,1971,Comedy,War,?,82,Woody Allen,Sim,USA,2000000,Woody Allen,Nao,7.1,Nao
